Configuration,din,dout,drv_sel,in_en,out_hs_en,out_ls_en,pd_en,pu_en,sel_r,sel_vdd,exp. drive,meas. drive,D_chk,E_chk,Summary
VDD0_DRV_out_0,1'h1,1'h0,2'h0,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h0,1.157,4.85151,1,0,FAIL
VDD1_DRV_out_0,1'h1,1'h0,2'h0,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,1.157,2.54477,1,1,PASS
VDD2_DRV_out_0,1'h1,1'h0,2'h0,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h2,1.157,2.54477,1,1,PASS
VDD3_DRV_out_0,1'h1,1'h0,2'h0,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h3,1.157,2.54477,1,1,PASS
VDD0_DRV_out_1,1'h1,1'h0,2'h1,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h0,2.299,9.69969,1,0,FAIL
VDD1_DRV_out_1,1'h1,1'h0,2'h1,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,2.299,5.08931,1,1,PASS
VDD2_DRV_out_1,1'h1,1'h0,2'h1,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h2,2.299,5.08931,1,1,PASS
VDD3_DRV_out_1,1'h1,1'h0,2'h1,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h3,2.299,5.08931,1,1,PASS
VDD0_DRV_out_2,1'h1,1'h0,2'h2,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h0,4.512,14.5445,1,0,FAIL
VDD1_DRV_out_2,1'h1,1'h0,2'h2,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,4.512,7.6336,1,0,FAIL
VDD2_DRV_out_2,1'h1,1'h0,2'h2,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h2,4.512,7.6336,1,0,FAIL
VDD3_DRV_out_2,1'h1,1'h0,2'h2,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h3,4.512,7.6336,1,0,FAIL
VDD0_DRV_out_3,1'h1,1'h0,2'h3,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h0,8.676,19.3861,1,0,FAIL
VDD1_DRV_out_3,1'h1,1'h0,2'h3,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h1,8.676,10.1777,1,0,FAIL
VDD2_DRV_out_3,1'h1,1'h0,2'h3,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h2,8.676,10.1777,1,0,FAIL
VDD3_DRV_out_3,1'h1,1'h0,2'h3,1'h0,1'h1,1'h1,1'h0,1'h0,2'h3,2'h3,8.676,10.1777,1,0,FAIL
